uti  n age current dia oc pastyr vi vic vicl vis
1 10   0       0   0  0      0  0   0    0   0
0  1   0       0   0  0      0  0   0    0   1
0  4   0       0   0  0      0  1   0    0   0
4  4   0       0   0  0      0  1   1    0   0
1  2   0       0   0  0      0  1   1    0   1
0  4   0       0   0  0      0  1   1    1   0
3 13   0       0   0  0      0  1   1    1   1
1 18   0       0   0  0      1  0   0    0   0
7 16   0       0   0  0      1  1   0    0   0
1  1   0       0   0  0      1  1   0    0   1
10 12  0       0   0  0      1  1   1    0   0
2  2   0       0   0  0      1  1   1    0   1
9 13   0       0   0  0      1  1   1    1   0
8 14   0       0   0  0      1  1   1    1   1
1  1   0       0   1  0      1  1   1    1   1
1 80   0       1   0  0      0  0   0    0   0
1  1   0       1   0  0      0  1   1    1   0
1  3   0       1   0  0      0  1   1    1   1
0  2   0       0   0  1      0  0   0    0   0
22 49  0       0   0  1      0  1   0    0   0
2  3   0       0   0  1      0  1   1    0   0
2  5   0       0   0  1      0  1   1    1   0
0  2   0       0   0  1      0  1   1    1   1
1  6   0       0   0  1      1  0   0    0   0
22 37  0       0   0  1      1  1   0    0   0
3  3   0       0   1  1      1  1   0    0   0
13 13  0       0   0  1      1  1   1    0   0
1  1   0       0   1  1      1  1   1    0   0
2  2   0       0   0  1      1  1   1    0   1
5  7   0       0   0  1      1  1   1    1   0
3  7   0       0   0  1      1  1   1    1   1
3 24   0       1   0  1      0  0   0    0   0
0  1   0       1   0  1      0  0   0    0   1
0  2   1       0   0  0      0  0   0    0   0
1  5   1       0   0  0      0  1   0    0   0
0  2   1       0   0  0      0  1   1    1   0
0  3   1       0   0  0      0  1   1    1   1
1  2   1       0   0  0      1  1   0    0   0
2  2   1       0   0  0      1  1   1    0   0
1  1   1       0   0  0      1  1   1    0   1
1  1   1       0   1  0      1  1   1    0   1
1  1   1       0   0  0      1  1   1    1   0
0  1   1       0   0  0      1  1   1    1   1
1  1   1       0   1  0      1  1   1    1   1
1 18   1       1   0  0      0  0   0    0   0
0  1   1       1   0  0      0  1   0    0   0
0 12   1       0   0  1      0  1   0    0   0
0  1   1       0   0  1      0  1   1    1   1
0  3   1       0   0  1      1  0   0    0   0
4  6   1       0   0  1      1  1   0    0   0
0  1   1       0   0  1      1  1   0    0   1
3  4   1       0   0  1      1  1   1    0   0
0  1   1       0   0  1      1  1   1    1   1
0  7   1       1   0  1      0  0   0    0   0
1  1   1       1   0  1      0  1   0    0   0
